,Local Council Area,Room Type,Price,Rating,Bedrooms,Beds,Bathrooms,Minimum Nights
72,Kingston,Shared room,140.0,0.0,1.0,1.0,0.0,1.0
73,Knox,Shared room,48.0,0.0,1.0,1.0,0.0,1.0
74,Manningham,Shared room,290.0,1.83,1.0,0.5,0.5,1.0
75,Maribyrnong,Shared room,55.75,2.95,1.25,1.75,1.0,1.5
76,Maroondah,Shared room,200.0,0.0,1.0,0.0,0.0,2.0
77,Melbourne,Shared room,108.83,1.61,1.0,1.88,0.54,5.29
78,Melton,Shared room,76.0,0.0,1.0,1.0,0.0,1.0
79,Monash,Shared room,65.62,1.75,1.0,1.5,0.88,5.62
80,Moonee Valley,Shared room,46.82,2.12,1.0,1.27,0.73,5.09
81,Moreland,Shared room,99.5,0.81,1.0,1.0,0.25,1.5
82,Nillumbik,Shared room,0.0,0.0,0.0,0.0,0.0,0.0
83,Port Phillip,Shared room,84.88,2.74,1.0,1.12,0.66,4.75
84,Stonnington,Shared room,43.67,0.0,1.0,0.67,0.0,2.33
85,Whitehorse,Shared room,103.67,1.06,1.0,1.0,0.38,3.08
86,Whittlesea,Shared room,60.0,1.25,1.5,1.0,0.25,1.0
87,Wyndham,Shared room,59.0,0.0,1.0,1.0,0.0,1.0
88,Yarra,Shared room,60.09,2.38,1.0,1.18,0.55,1.91
89,Yarra Ranges,Shared room,0.0,0.0,0.0,0.0,0.0,0.0
90,Banyule,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
91,Bayside,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
92,Boroondara,Hotel room,265.0,4.0,2.0,3.0,1.0,1.0
93,Brimbank,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
94,Cardinia,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
95,Casey,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
96,Darebin,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
97,Frankston,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
98,Glen Eira,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
99,Greater Dandenong,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
100,Hobsons Bay,Hotel room,324.5,2.33,1.0,2.0,0.0,3.5
101,Hume,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
102,Kingston,Hotel room,335.6,2.4,1.0,1.4,0.8,1.0
103,Knox,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
104,Manningham,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
105,Maribyrnong,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
106,Maroondah,Hotel room,297.0,2.37,1.5,2.0,0.5,1.0
107,Melbourne,Hotel room,176.66,3.47,1.0,1.15,0.68,3.12
108,Melton,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
109,Monash,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
110,Moonee Valley,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
111,Moreland,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
112,Nillumbik,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
113,Port Phillip,Hotel room,472.1,3.61,1.8,1.9,1.1,1.8
114,Stonnington,Hotel room,124.5,0.69,1.0,1.14,0.14,1.0
115,Whitehorse,Hotel room,311.0,4.57,1.0,1.0,1.0,1.0
116,Whittlesea,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
117,Wyndham,Hotel room,234.0,4.58,1.0,1.5,0.5,1.0
118,Yarra,Hotel room,0.0,0.0,0.0,0.0,0.0,0.0
119,Yarra Ranges,Hotel room,361.09,3.43,1.0,1.0,0.55,1.18
